price,spread,inventory,pnl
100.25,2.5,0,0.0
100.25,2.5,1,1.25
100.125,2.25,1,1.125
100.125,2.25,7,7.875
100.0625,2.125,7,7.4375
100.0625,2.125,6,8.5
100.0625,2.125,5,9.5625
100.09375,2.0625,5,9.71875
100.109375,2.03125,5,9.796875
100.09375,2.0625,6,10.71875
100.078125,2.03125,6,10.625
100.15625,2.1875,-22,38.125
100.109375,2.09375,-22,39.15625
100.0859375,2.046875,-22,39.671875
100.07421875,2.0234375,-22,39.9296875
100.07421875,2.0234375,-22,39.9296875
100.0859375,2.046875,-30,47.7421875
100.09765625,2.0234375,-30,47.390625
100.103515625,2.01171875,-30,47.21484375
100.1005859375,2.005859375,-30,47.302734375
100.10205078125,2.0029296875,-30,47.2587890625
100.102783203125,2.00146484375,-30,47.23681640625
100.102783203125,2.00146484375,-21,56.243408203125
100.102783203125,2.00146484375,-21,56.243408203125
100.1024169921875,2.000732421875,-21,56.2510986328125
100.1024169921875,2.000732421875,-22,57.25146484375
100.10260009765625,2.0003662109375,-22,57.2474365234375
100.1002197265625,2.005126953125,-6,73.2822265625
100.1002197265625,2.005126953125,-6,73.2822265625
100.10150146484375,2.0025634765625,-6,73.2745361328125
100.10086059570312,2.00128173828125,-6,73.27838134765625
100.10150146484375,2.0025634765625,-9,76.277099609375
100.10214233398438,2.00128173828125,-9,76.27133178710938
100.10214233398438,2.00128173828125,-10,77.27197265625
100.10246276855469,2.000640869140625,-10,77.26876831054688
100.10262298583984,2.0003204345703125,-10,77.26716613769531
100.10270309448242,2.0001602172851562,-10,77.26636505126953
100.10266304016113,2.000080108642578,-10,77.26676559448242
100.10266304016113,2.000080108642578,-9,78.26680564880371
100.10266304016113,2.000080108642578,-11,80.26688575744629
100.10266304016113,2.000080108642578,-11,80.26688575744629
100.10264301300049,2.000040054321289,-11,80.26710605621338
100.10263299942017,2.0000200271606445,-11,80.26721620559692
100.10262799263,2.0000100135803223,-11,80.2672712802887
100.10254788398743,2.0001702308654785,4,95.2681474685669
100.10250532627106,2.0000851154327393,4,95.26797723770142
100.10250532627106,2.0000851154327393,9,100.26819002628326
100.10248404741287,2.0000425577163696,9,100.2679985165596
100.10247340798378,2.000021278858185,9,100.26790276169777
100.10246808826923,2.0000106394290924,9,100.26785488426685
100.10246808826923,2.0000106394290924,9,100.26785488426685
100.1024707481265,2.000005319714546,9,100.26787882298231
