price,spread,inventory,pnl
100.0,2.0,1,1.0
99.995,1.9899999999999949,3,2.9850000000000136
99.985,1.9699999999999989,3,2.954999999999984
99.975,1.9500000000000028,3,2.9249999999999545
99.97,1.9399999999999977,0,5.819999999999993
99.97,1.9399999999999977,0,5.819999999999993
99.965,1.9500000000000028,14,19.399999999999864
99.91,1.8400000000000034,16,20.4699999999998
99.8625,1.7750000000000057,17,20.582499999999754
99.83,1.7199999999999989,28,29.44499999999971
99.75999999999999,1.5799999999999983,28,27.484999999999673
99.725,1.5100000000000051,26,28.014999999999873
99.715,1.4899999999999949,26,27.75500000000011
99.71000000000001,1.480000000000004,26,27.625
99.71000000000001,1.480000000000004,20,32.06500000000028
99.71000000000001,1.480000000000004,21,32.80500000000029
99.71000000000001,1.480000000000004,21,32.80500000000029
99.71000000000001,1.480000000000004,21,32.80500000000029
99.715,1.4899999999999949,4,45.434999999999945
99.715,1.4899999999999949,10,49.905000000000086
99.715,1.4899999999999949,10,49.905000000000086
99.715,1.4899999999999949,10,49.905000000000086
99.715,1.4899999999999949,13,52.1400000000001
99.715,1.4899999999999949,13,52.1400000000001
99.715,1.4899999999999949,12,52.88499999999999
99.715,1.4899999999999949,12,52.88499999999999
99.715,1.4899999999999949,10,54.375000000000114
99.715,1.4899999999999949,10,54.375000000000114
99.715,1.4899999999999949,11,55.12000000000012
99.715,1.4899999999999949,9,56.61000000000013
99.715,1.4899999999999949,8,57.35500000000013
99.715,1.4899999999999949,8,57.35500000000013
99.715,1.4899999999999949,8,57.35500000000013
99.715,1.4899999999999949,8,57.35500000000013
99.715,1.4899999999999949,9,58.100000000000136
99.715,1.4899999999999949,9,58.100000000000136
99.725,1.5100000000000051,8,58.92500000000007
99.725,1.5100000000000051,4,61.94500000000011
99.735,1.5300000000000011,-2,66.49500000000015
99.735,1.5300000000000011,-2,66.49500000000015
99.735,1.5300000000000011,2,69.55500000000015
99.735,1.5300000000000011,10,75.67500000000018
99.735,1.5300000000000011,10,75.67500000000018
99.735,1.5300000000000011,10,75.67500000000018
99.735,1.5300000000000011,10,75.67500000000018
99.735,1.5300000000000011,9,76.44000000000017
99.735,1.5300000000000011,9,76.44000000000017
99.735,1.5300000000000011,9,76.44000000000017
99.735,1.5300000000000011,9,76.44000000000017
99.735,1.5300000000000011,15,81.0300000000002
99.735,1.5300000000000011,15,81.0300000000002
99.735,1.5300000000000011,14,81.79500000000007
99.735,1.5300000000000011,15,82.56000000000017
99.735,1.5300000000000011,15,82.56000000000017
99.735,1.5300000000000011,14,83.32500000000005
99.735,1.5300000000000011,17,85.61999999999989
99.735,1.5300000000000011,17,85.61999999999989
99.735,1.5300000000000011,17,85.61999999999989
99.735,1.5300000000000011,17,85.61999999999989
99.735,1.5300000000000011,17,85.61999999999989
99.735,1.5300000000000011,20,87.91500000000019
99.735,1.5300000000000011,19,88.68000000000006
99.735,1.5300000000000011,19,88.68000000000006
99.735,1.5300000000000011,19,88.68000000000006
99.735,1.5300000000000011,19,88.68000000000006
99.735,1.5300000000000011,13,93.27000000000021
99.735,1.5300000000000011,13,93.27000000000021
99.735,1.5300000000000011,15,94.80000000000018
99.735,1.5300000000000011,15,94.80000000000018
99.735,1.5300000000000011,15,94.80000000000018
99.725,1.5499999999999972,20,98.48500000000013
99.725,1.5499999999999972,17,100.80999999999995
99.725,1.5499999999999972,20,103.13500000000022
99.725,1.5499999999999972,20,103.13500000000022
99.725,1.5499999999999972,19,103.91000000000008
99.725,1.5499999999999972,19,103.91000000000008
99.725,1.5499999999999972,18,104.68500000000017
99.725,1.5499999999999972,18,104.68500000000017
99.725,1.5499999999999972,8,112.43500000000017
99.725,1.5499999999999972,9,113.21000000000015
99.725,1.5499999999999972,9,113.21000000000015
99.725,1.5499999999999972,9,113.21000000000015
99.725,1.5499999999999972,9,113.21000000000015
99.725,1.5499999999999972,10,113.98500000000013
99.72,1.5600000000000023,19,120.93500000000017
99.72,1.5600000000000023,19,120.93500000000017
99.72,1.5600000000000023,19,120.93500000000017
99.66499999999999,1.6700000000000017,22,122.0649999999996
99.66499999999999,1.6700000000000017,12,129.81500000000005
99.67,1.6800000000000068,6,134.88500000000005
99.67,1.6800000000000068,5,135.72500000000008
99.67,1.6800000000000068,5,135.72500000000008
99.67,1.6800000000000068,5,135.72500000000008
99.67,1.6800000000000068,3,137.40500000000006
99.67,1.6800000000000068,3,137.40500000000006
99.67,1.6800000000000068,6,139.92500000000007
99.63,1.7600000000000051,16,147.92500000000018
99.61,1.7199999999999989,14,149.32500000000027
99.61,1.7199999999999989,14,149.32500000000027
99.61,1.7199999999999989,14,149.32500000000027
99.61,1.7199999999999989,14,149.32500000000027
99.61,1.7199999999999989,22,156.20500000000038
99.57,1.6400000000000006,22,155.32500000000027
99.55,1.5999999999999943,22,154.88500000000022
99.53999999999999,1.5799999999999983,21,155.45499999999993
99.53999999999999,1.5799999999999983,22,156.2449999999999
99.535,1.5699999999999932,19,158.49000000000024
99.535,1.5699999999999932,21,160.0600000000004
99.535,1.5699999999999932,20,160.84500000000003
99.535,1.5699999999999932,23,163.20000000000027
99.525,1.5499999999999972,29,167.6200000000008
99.49000000000001,1.480000000000004,31,168.08500000000095
99.465,1.4300000000000068,31,167.3100000000004
99.455,1.4099999999999966,35,169.82000000000016
99.43,1.3599999999999994,34,169.6250000000009
99.4125,1.355000000000004,35,169.69250000000056
99.39750000000001,1.3250000000000028,34,169.83000000000084
99.39750000000001,1.3250000000000028,36,171.1550000000011
99.3875,1.3050000000000068,36,170.79500000000098
99.3825,1.2950000000000017,36,170.61500000000024
99.3775,1.2849999999999966,36,170.43500000000085
99.3775,1.2849999999999966,36,170.43500000000085
99.3775,1.2849999999999966,36,170.43500000000085
99.3775,1.2849999999999966,32,173.00500000000056
99.3775,1.2849999999999966,32,173.00500000000056
99.3775,1.2849999999999966,32,173.00500000000056
99.3775,1.2849999999999966,36,175.57500000000073
99.3775,1.2849999999999966,36,175.57500000000073
99.3775,1.2849999999999966,36,175.57500000000073
99.3775,1.2849999999999966,35,176.21750000000065
99.3775,1.2849999999999966,35,176.21750000000065
99.3775,1.2849999999999966,34,176.86000000000058
99.3775,1.2849999999999966,24,183.2850000000003
99.3775,1.2849999999999966,18,187.14000000000033
99.3775,1.2849999999999966,11,191.63750000000016
99.3775,1.2849999999999966,15,194.2075000000002
99.3775,1.2849999999999966,14,194.85000000000014
99.3775,1.2849999999999966,14,194.85000000000014
99.3775,1.2849999999999966,23,200.63250000000016
99.3775,1.2849999999999966,8,210.2700000000002
99.3775,1.2849999999999966,8,210.2700000000002
99.3775,1.2849999999999966,3,213.4825000000002
99.3775,1.2849999999999966,14,220.54999999999995
99.3775,1.2849999999999966,18,223.12000000000012
99.3775,1.2849999999999966,12,226.97500000000002
99.3775,1.2849999999999966,7,230.18749999999994
99.3775,1.2849999999999966,9,231.47250000000008
99.3775,1.2849999999999966,3,235.32750000000004
99.3775,1.2849999999999966,3,235.32750000000004
99.3775,1.2849999999999966,3,235.32750000000004
99.3775,1.2849999999999966,13,241.75250000000005
99.3775,1.2849999999999966,13,241.75250000000005
99.3775,1.2849999999999966,13,241.75250000000005
99.3775,1.2849999999999966,13,241.75250000000005
99.3775,1.2849999999999966,13,241.75250000000005
